"Fahrzeugmodell";"Marke";"Markenindikator";"Modellfamilie";"Markteinführung weltweit";"Modelljahr";"Entwicklungstyp";"Modellstatus";"Fahrzeugsegment";"Karosserieart";"Karosserieart-Spezifikation";"Antriebsart";"Fahrzeugprojekt";"Beschränkung";"UUID";"Schwestermodell";"Schwestermodell";"Modellausführung";"Basisfahrzeug"
"Acura MDX Sport Hybrid (2017)";"Acura";"Premium";"Acura MDX";"01.11.2016";"2017";"Facelift";"ausgelaufen";"C (obere Mittelklasse)";"SUV / CUV";"SUV Standard";"HEV";;"Keine";"356e10dd-f9f3-4561-8e60-907a285dcda5";;;;"Acura MDX (2017)"
"Acura NSX (2016)";"Acura";"Premium";"Acura NSX";"01.10.2015";"2016";"Neuentwicklung";"aktuell";"D (Oberklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"f07a5fa3-3e77-4a7f-9897-d78af045baf1";;"Honda NSX (2017)";;
"Acura RDX (2007)";"Acura";"Premium";"Acura RDX";"11.06.2006";"2007";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"SUV / CUV";;"ICE";;"Keine";"364bf0c2-e054-4185-a992-7187711086cf";;;;
"Acura RDX (2010)";"Acura";"Premium";"Acura RDX";"01.01.2009";"2010";"Facelift";"ausgelaufen";"B (Mittelklasse)";"SUV / CUV";;"ICE";;"Keine";"c2a5dc23-93b2-4f7f-b4e9-21acb190d4a0";;;;
"Acura RDX (2013)";"Acura";"Premium";"Acura RDX";"01.09.2012";"2013";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"SUV / CUV";;"ICE";;"Keine";"d94ba8c7-5719-4ede-b568-52546d689ab1";;;;
"Acura RDX (2016)";"Acura";"Premium";"Acura RDX";"01.01.2015";"2016";"Facelift";"ausgelaufen";"B (Mittelklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"017e3ed0-310a-4bac-8a35-4241362151ba";;;;
"Acura RDX (2019)";"Acura";"Premium";"Acura RDX";"01.05.2018";"2019";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"ce83435d-9555-4b04-b725-62c3cdff7732";;;;
"Acura RL (2009)";"Acura";"Premium";"Acura RL";"01.07.2008";"2009";"Neuentwicklung";"ausgelaufen";"C (obere Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"94c32fc3-ce0c-4a47-94f0-a20c48443130";;"Honda Legend (2009)";;
"Acura RLX (2014)";"Acura";"Premium";"Acura RLX";"01.05.2013";"2014";"Neuentwicklung";"ausgelaufen";"C (obere Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"90b87577-4f5e-4ba0-a467-40d16e344bc6";;"Honda Legend (2016)";"Acura RLX Sport Hybrid (2014)";
"Acura RLX (2018)";"Acura";"Premium";"Acura RLX";"01.11.2017";"2018";"Facelift";"ausgelaufen";"C (obere Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"a56a9653-ab55-42da-91cc-3ed368c67e6f";;"Honda Legend (2021)";;
"Acura RLX Sport Hybrid (2014)";"Acura";"Premium";"Acura RLX";"01.05.2013";"2014";"Neuentwicklung";"ausgelaufen";"C (obere Mittelklasse)";"Sedan";"Sedan Standard";"HEV";;"Keine";"154d2661-8f1d-492a-961d-cb4079a8453f";;;;"Acura RLX (2014)"
"Acura TL (2005)";"Acura";"Premium";"Acura TL";"01.01.2004";"2005";"Neuentwicklung";"ausgelaufen";"C (obere Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"8c1c2315-a2e0-41dc-a9a4-87ce1c20a9da";;;;
"Acura TL (2010)";"Acura";"Premium";"Acura TL";"01.01.2009";"2010";"Neuentwicklung";"ausgelaufen";"C (obere Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"f50137e9-cdcb-4e1d-868a-8cee9e9dd8e0";;;;
"Acura TLX (2015)";"Acura";"Premium";"Acura TLX";"01.08.2014";"2015";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"e908a3dc-3e81-4d8a-9a98-9ae40adcdc2c";;;;
"Acura TLX (2018)";"Acura";"Premium";"Acura TLX";"01.06.2017";"2018";"Facelift";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"af797428-e93e-4b2a-99d6-ca40e98c785e";;;"Acura TLX-L (2018)";
"Acura TLX (2021)";"Acura";"Premium";"Acura TLX";"01.09.2020";"2021";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"f70f3df6-34e2-4311-9791-d3c9647a3151";;;;
"Acura TLX-L (2018)";"Acura";"Premium";"Acura TLX";"01.12.2017";"2018";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"34cc32be-23ad-45a5-bb4b-3b377b621cea";;;;"Acura TLX (2018)"
"Acura TSX (2010)";"Acura";"Premium";"Acura TSX";"01.01.2009";"2010";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"8b98e086-e0aa-40fc-8b11-7301c52bc1b8";;"Honda Accord Limousine - EU (2009)|Honda Spirior (2010)";;
"Acura TSX Sport Wagon (2010)";"Acura";"Premium";"Acura TSX";"01.01.2009";"2010";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Estate";"Estate standard";"ICE";;"Keine";"b64e1ef2-4f3d-499f-87e0-e3ff26f69499";"Honda Accord Tourer (2009)";;;
"Acura ZDX (2011)";"Acura";"Premium";"Acura ZDX";"01.01.2010";"2011";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"SUV / CUV";"SUV Fastback";"ICE";;"Keine";"dfbc2b67-2066-449b-a33d-0201ba8e5275";;;;
"Aion LX (2020)";"Aion";"Economy";;"01.10.2019";"2020";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"ea853317-b3ec-4382-8486-50e5f974fec7";"Hycan 007 (2021)";;;
"Aion LX Plus (2022)";"Aion";"Economy";;"06.01.2022";"2022";"Facelift";"aktuell";"B (Mittelklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"114318e6-ff0f-49be-8a3b-25df6dd1a55f";;;;
"Aion S (2020)";"Aion";"Economy";;"01.05.2019";"2020";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"BEV";;"Keine";"015f8af8-ef66-4429-8524-8a272a7b31c2";"Everus EA6 (2021)|Toyota iA5 (2020)";;;
"Aion S Plus (2022)";"Aion";"Economy";;"01.02.2022";"2022";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"BEV";;"Keine";"0595e3b4-b178-4a4c-89cf-26e4d3738460";;;;
"Aion V (2021)";"Aion";"Economy";;"19.06.2020";"2021";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"675e16e2-a281-45e6-9fd9-f94078f54559";;;;
"Aion V Plus (2024)";"Aion";"Economy";;"20.06.2023";"2024";"Facelift";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"73836c13-a4a8-4d7f-b920-9123cfa967f7";;;;
"Aion Y (2021)";"Aion";"Economy";;"01.05.2021";"2021";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"676064b3-a43f-40c2-9459-ad4f0749b66a";"Hycan Z03 (2022)";;;
"Aion Y Plus (2023)";"Aion";"Economy";;"01.10.2022";"2023";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"a7df94b1-4477-4459-9708-03fa38c45704";;;;
"Aito M5 (2022)";"Aito";"Economy";"Aito M5";"01.03.2022";"2022";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"PHEV";;"Keine";"d8076847-4292-4928-962c-f9429aa31706";;;;
"Aito M5e (2023)";"Aito";"Economy";"Aito M5";"12.09.2022";"2023";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"4c22a7fa-d9c9-4fd1-9fe4-fde3a489dab6";;;;
"Aito M7 (2023)";"Aito";"Economy";;"04.07.2022";"2023";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"SUV / CUV";"SUV Standard";"PHEV";;"Keine";"6fb28b00-3ca8-43c1-8c3f-2326ed66699a";;;;
"Aiways U5 (2020)";"Aiways";"Economy";;"01.02.2020";"2020";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"460c660e-0e0d-4edc-93b8-cd9f21cacad5";;;;
"Aiways U6 (2023)";"Aiways";"Economy";;"13.10.2022";"2023";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"SUV / CUV";"SUV Fastback";"BEV";;"Keine";"b1d8f8aa-c97b-40dd-9560-2d8c3940f8f1";;;;
"Alfa Romeo 147 (2001)";"Alfa Romeo";"Volume";"Alfa Romeo 147";"01.07.2000";"2001";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"689a7b10-3808-4ee4-b04e-8b3aa008d894";;;;
"Alfa Romeo 147 (2007)";"Alfa Romeo";"Volume";"Alfa Romeo 147";"01.01.2006";"2007";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"b900542b-6b42-4eec-9eab-c4ab1dfeeeec";;;;
"Alfa Romeo 159 Limousine (2006)";"Alfa Romeo";"Volume";"Alfa Romeo 159";"01.03.2005";"2006";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Sedan";;"ICE";;"Keine";"ad991e40-ffe0-4085-a7e9-ce23741b297c";;;;
"Alfa Romeo 159 Sportwagon (2006)";"Alfa Romeo";"Volume";"Alfa Romeo 159";"01.03.2005";"2006";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Estate";;"ICE";;"Keine";"e373860a-8113-4b12-91b4-894cc07c7b73";;;;
"Alfa Romeo 4C Coupe (2014)";"Alfa Romeo";"Volume";"Alfa Romeo 4C";"01.10.2013";"2014";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"331d8786-ee60-447e-8bcf-1fb052d0c1ff";;;;
"Alfa Romeo 4C Spider (2016)";"Alfa Romeo";"Volume";"Alfa Romeo 4C";"16.04.2015";"2016";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Cabriolet/Roadster";"Roadster";"ICE";;"Keine";"2b64827d-3525-4cc9-9326-2cc16200b0d1";;;;
"Alfa Romeo 8C Competizione (2008)";"Alfa Romeo";"Volume";"Alfa Romeo 8C";"01.02.2007";"2008";"Neuentwicklung";"ausgelaufen";"E (Luxusklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"8dda6af8-acfb-4055-88d9-219132c902cf";;;;
"Alfa Romeo 8C Spider (2010)";"Alfa Romeo";"Volume";"Alfa Romeo 8C";"01.01.2009";"2010";"Neuentwicklung";"ausgelaufen";"E (Luxusklasse)";"Cabriolet/Roadster";"Roadster";"ICE";;"Keine";"19d26db4-a9b0-478b-b3d1-9a33373cd96e";;;;
"Alfa Romeo Brera (2006)";"Alfa Romeo";"Volume";"Alfa Romeo Brera";"13.09.2005";"2006";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"ec58b3f9-060c-4778-afc8-81f143d8be68";;;;
"Alfa Romeo Giulia (2016)";"Alfa Romeo";"Volume";"Alfa Romeo Giulia";"01.04.2016";"2016";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"1899a919-fbbf-4817-8039-64d1f139e9e0";;;"Alfa Romeo Giulia Quadrifoglio (2016)";
"Alfa Romeo Giulia (2020)";"Alfa Romeo";"Volume";"Alfa Romeo Giulia";"01.12.2019";"2020";"Facelift";"aktuell";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"d26ad992-f9c7-4b56-99b7-a182b5af5800";;;;
"Alfa Romeo Giulia Quadrifoglio (2016)";"Alfa Romeo";"Volume";"Alfa Romeo Giulia";"01.04.2016";"2016";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"0d29e310-f05b-496d-9d39-38934a6973b2";;;;"Alfa Romeo Giulia (2016)"
"Alfa Romeo Giulietta (2011)";"Alfa Romeo";"Volume";"Alfa Romeo Giulietta";"01.05.2010";"2011";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"1367c29b-0d85-4c70-977f-30eb0b49c01d";;;;
"Alfa Romeo Giulietta (2014)";"Alfa Romeo";"Volume";"Alfa Romeo Giulietta";"01.10.2013";"2014";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"9aac1369-9a77-4a3d-8233-5157383aeb09";;;"Alfa Romeo Giulietta Quadrifoglio Verde (2014)|Alfa Romeo Giulietta Sprint (2015)";
"Alfa Romeo Giulietta (2017)";"Alfa Romeo";"Volume";"Alfa Romeo Giulietta";"01.07.2016";"2017";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"7830c10e-ea50-43df-ab04-acba4b3d0a8b";;;;
"Alfa Romeo Giulietta Quadrifoglio Verde (2014)";"Alfa Romeo";"Volume";"Alfa Romeo Giulietta";"01.11.2014";"2014";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"c80ab706-a79c-4a38-9584-651788b258cb";;;;"Alfa Romeo Giulietta (2014)"
"Alfa Romeo Giulietta Sprint (2015)";"Alfa Romeo";"Volume";"Alfa Romeo Giulietta";"01.11.2014";"2014";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"e59d2c45-e43e-4ec7-9b40-82b36869e034";;;;"Alfa Romeo Giulietta (2014)"
"Alfa Romeo GT (2004)";"Alfa Romeo";"Volume";"Alfa Romeo GT";"01.03.2003";"2004";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"440e38e6-17de-47f3-99aa-14af9d2e9631";;;;
"Alfa Romeo MiTo (2009)";"Alfa Romeo";"Volume";"Alfa Romeo MiTo";"27.09.2008";"2009";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"e8f046d3-7fc8-4db2-b429-9c00cd1cefd4";;;;
"Alfa Romeo MiTo (2014)";"Alfa Romeo";"Volume";"Alfa Romeo MiTo";"01.09.2013";"2014";"Facelift";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"f39fbf73-a369-4e61-af54-5c8fe9635766";;;"Alfa Romeo MiTo Quadrifolgio Verde (2014)";
"Alfa Romeo MiTo (2017)";"Alfa Romeo";"Volume";"Alfa Romeo MiTo";"01.10.2016";"2017";"Facelift";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"257f127d-7346-4975-84ca-02b24757acd4";;;;
"Alfa Romeo MiTo Quadrifolgio Verde (2014)";"Alfa Romeo";"Volume";"Alfa Romeo MiTo";"01.09.2013";"2014";"Facelift";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"a781de78-fbec-4415-b965-f2cf98011db7";;;;"Alfa Romeo MiTo (2014)"
"Alfa Romeo Spider (2007)";"Alfa Romeo";"Volume";"Alfa Romeo Spider";"02.03.2006";"2007";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Cabriolet/Roadster";;"ICE";;"Keine";"d5d620e6-711a-4e6a-947f-7f63638dd57d";;;;
"Alfa Romeo Stelvio (2017)";"Alfa Romeo";"Volume";"Alfa Romeo Stelvio";"01.04.2017";"2017";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"6351a3bd-7438-4098-90db-829227e930e7";;;;
"Alfa Romeo Stelvio (2020)";"Alfa Romeo";"Volume";"Alfa Romeo Stelvio";"01.12.2019";"2020";"Facelift";"aktuell";"B (Mittelklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"8a19585b-3037-4b63-bf9d-6af5141acd98";;;;
"Alfa Romeo Tonale (2023)";"Alfa Romeo";"Volume";;"01.08.2022";"2023";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"44a48c64-bc1f-4066-83c7-b4217efcbf89";"Dodge Hornet (2023)";;;
"Alpine A110 (2018)";"Alpine";"Volume";;"01.12.2017";"2018";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"c3d4ece5-b784-43cf-aa52-fb72cb4cdbc7";;;;
"Arcfox Kaola (2024)";"Arcfox";"Volume";;"01.09.2023";"2024";"Neuentwicklung";"geplant";"A (Kompaktklasse)";"MPV";"MPV compact";"BEV";;"Keine";"635381bd-91e6-4f1f-8870-5d0310538a49";;;;
"Arcfox Lite (2018)";"Arcfox";"Volume";;"01.12.2017";"2018";"Neuentwicklung";"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";"Hatchback standard";"BEV";;"Keine";"fff5856a-9658-4ebe-bc31-f61891c2c839";;;;
"Arcfox ?S (2022)";"Arcfox";"Volume";;"01.06.2021";"2022";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"Sedan";"Liftback Standard";"BEV";;"Keine";"5d070507-eca5-40b3-8fa3-4247b78b011e";;;;
"Arcfox ?T (2021)";"Arcfox";"Volume";;"28.10.2020";"2021";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"7154f0f8-36ce-4ce4-81a1-24e0e4b55642";;;;
"Aston Martin Cygnet (2012)";"Aston Martin";"Luxury";"Aston Martin Cygnet";"01.03.2011";"2012";"Neuentwicklung";"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";;"ICE";;"Keine";"5779ce6b-d754-4e2f-b3d2-a0c1e6bd4355";;;;
"Aston Martin DB11 (2017)";"Aston Martin";"Luxury";"Aston Martin DB11";"01.12.2016";"2017";"Neuentwicklung";"aktuell";"D (Oberklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"d8240b64-9c4b-4e3a-b5f0-eaf7dd401423";;;;
"Aston Martin DB11 Volante (2018)";"Aston Martin";"Luxury";"Aston Martin DB11";"01.03.2018";"2018";"Neuentwicklung";"aktuell";"D (Oberklasse)";"Cabriolet/Roadster";"Cabriolet";"ICE";;"Keine";"e4fbce28-36f2-49a9-a67f-ca66824e4bf8";;;;
"Aston Martin DB12 (2024)";"Aston Martin";"Luxury";;"01.12.2023";"2024";"Facelift";"geplant";"D (Oberklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"580d92d0-c23d-400a-a987-5aa408f2b260";;;;
"Aston Martin DB9 (2005)";"Aston Martin";"Luxury";"Aston Martin DB9";"01.05.2004";"2005";"Neuentwicklung";"ausgelaufen";"E (Luxusklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"fbace2e3-e02d-4649-bf74-93e6ed04fb95";;;;
"Aston Martin DB9 (2011)";"Aston Martin";"Luxury";"Aston Martin DB9";"01.08.2010";"2011";"Facelift";"ausgelaufen";"E (Luxusklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"5f4e3d3e-cfdf-46b8-8b06-88a9cfbfa0cf";;;;
"Aston Martin DB9 (2013)";"Aston Martin";"Luxury";"Aston Martin DB9";"01.10.2012";"2013";"Facelift";"ausgelaufen";"E (Luxusklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"30430e07-52e5-4d9a-8727-95a8255603cf";;;;
"Aston Martin DB9 Volante (2012)";"Aston Martin";"Luxury";"Aston Martin DB9";"01.10.2012";"2013";"Facelift";"ausgelaufen";"E (Luxusklasse)";"Cabriolet/Roadster";"Cabriolet";"ICE";;"Keine";"b51ecc0a-9e85-4def-a32b-4bda32c70109";;;;
"Aston Martin DBS (2008)";"Aston Martin";"Luxury";"Aston Martin DBS";"01.01.2007";"2008";"Neuentwicklung";"ausgelaufen";"E (Luxusklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"c58f006f-803c-4ad5-ac1f-2dcba8825a4c";;;;
"Aston Martin DBS Superleggera (2019)";"Aston Martin";"Luxury";"Aston Martin DBS";"01.09.2018";"2019";"Neuentwicklung";"aktuell";"D (Oberklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"84105e02-5e1f-45b1-812e-7ca66f97cacb";;;;
"Aston Martin DBS Superleggera Volante (2020)";"Aston Martin";"Luxury";"Aston Martin DBS";"10.07.2019";"2020";"Neuentwicklung";"aktuell";"D (Oberklasse)";"Cabriolet/Roadster";"Roadster";"ICE";;"Keine";"2aa6e147-9653-4dd6-b01b-0b37448fbe6c";;;;
"Aston Martin DBS Volante (2008)";"Aston Martin";"Luxury";"Aston Martin DBS";"01.01.2007";"2008";"Neuentwicklung";"ausgelaufen";"E (Luxusklasse)";"Cabriolet/Roadster";;"ICE";;"Keine";"3a42ea94-92af-4fa1-8fac-2433e79db97f";;;;
"Aston Martin DBX (2020)";"Aston Martin";"Luxury";;"21.03.2020";"2020";"Neuentwicklung";"aktuell";"D (Oberklasse)";"SUV / CUV";"SUV Fastback";"ICE";;"Keine";"83938a14-60f6-4e3a-83df-04284b6f3d92";;;;
"Aston Martin One-77 (2011)";"Aston Martin";"Luxury";"Aston Martin One-77";"01.10.2010";"2011";"Neuentwicklung";"ausgelaufen";"E (Luxusklasse)";"Coupe";;"ICE";;"Keine";"e2fc8da5-fa57-41fd-b54d-bb1cab7ebd83";;;;
"Aston Martin Rapide (2011)";"Aston Martin";"Luxury";"Aston Martin Rapide";"01.01.2010";"2011";"Neuentwicklung";"ausgelaufen";"D (Oberklasse)";"Sedan";"Liftback Standard";"ICE";;"Keine";"ea680e57-aa00-4bd3-a756-1ddd58b9ec6c";;;;
"Aston Martin Rapide E (2020)";"Aston Martin";"Luxury";"Aston Martin Rapide";"01.07.2019";"2020";"Neuentwicklung";"ausgelaufen";"D (Oberklasse)";"Sedan";"Liftback Standard";"BEV";;"Keine";"45ccd003-75a5-413c-958c-460d58f2dc3e";;;;
"Aston Martin Rapide S (2014)";"Aston Martin";"Luxury";"Aston Martin Rapide";"01.01.2013";"2014";"Facelift";"ausgelaufen";"D (Oberklasse)";"Sedan";"Liftback Standard";"ICE";;"Keine";"9b6307bf-9014-4148-bf01-c4cc3002ec3f";;;;
"Aston Martin V12 Vantage (2010)";"Aston Martin";"Luxury";"Aston Martin V8/V12 Vantage";"01.01.2009";"2010";"Neuentwicklung";"ausgelaufen";"D (Oberklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"f2bc33f6-9c99-4de5-8e66-f025b9dea818";;;;
"Aston Martin V12 Vantage Roadster (2014)";"Aston Martin";"Luxury";"Aston Martin V8/V12 Vantage";"01.01.2013";"2014";"Neuentwicklung";"ausgelaufen";"D (Oberklasse)";"Cabriolet/Roadster";"Roadster";"ICE";;"Keine";"65767f1a-726c-4845-b3cb-9101353f1820";;;;
"Aston Martin V12 Vantage Roadster (2023)";"Aston Martin";"Luxury";"Aston Martin V8/V12 Vantage";"01.12.2022";"2023";"Neuentwicklung";"aktuell";"D (Oberklasse)";"Cabriolet/Roadster";"Roadster";"ICE";;"Keine";"e01aefb8-108f-4181-a3d5-683fb66206d8";;;;
"Aston Martin V12 Zagato (2013)";"Aston Martin";"Luxury";"Aston Martin V12 Zagato";"01.06.2012";"2013";"Neuentwicklung";"ausgelaufen";"E (Luxusklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"7b07db17-2204-4427-a9b2-9cf0844a1bd8";;;;
"Aston Martin V8 Vantage (2006)";"Aston Martin";"Luxury";"Aston Martin V8/V12 Vantage";"01.03.2005";"2006";"Neuentwicklung";"ausgelaufen";"D (Oberklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"b958aed7-28e9-4b09-b601-bec9c0ed64eb";;;;
